"StockCode","TotalQuantity","TotalRevenue","OrderCount"
"21524","5130","33665.65","1000"
"22699","12374","33662.7","1070"
"22720","7020","33347.8","1146"
"20726","21115","33333.11","1585"
"22384","20494","32681.5","1845"
"22188","12382","32379.54","487"
"21755","5492","32325.16","1485"
"22727","8856","31993.09","1144"
"22382","19679","31485.95","1919"
"22630","17623","31443.49","998"
"85152","16404","31138.05","1300"
"22385","16545","30096.57","971"
"48184","4652","29992.46","755"
"22622","3119","29731.56","511"
"20712","15929","29504.5","915"
"22865","14623","29433.43","1058"
"82483","4998","29150.02","1053"
"20679","6134","29140.67","622"
"15036","41078","28829.32","634"
"22379","14507","28377.08","1013"
"22659","16047","28121.77","764"
"22752","3579","28023.09","577"
"22492","44809","27835.09","635"
"22666","9807","27804.37","1277"
"22077","16284","27457.34","1361"
"48188","4777","27143.95","597"
"22467","11852","27051.53","928"
"21977","55270","26733.45","1578"
"23245","5856","26625.68","718"
"20750","3694","26581.78","867"
"72741","19727","26508.95","823"
"23199","13887","26451.26","718"
"84991","53495","26121.57","1765"
"22726","6980","25900.21","1041"
"21217","2727","25879.65","768"
"22866","12554","25251.36","939"
"71459","32244","25106.76","884"
"22867","12458","25071.13","907"
"82600","12609","25034.34","1005"
"22624","3014","24946.68","1065"
"84077","109169","24905.87","920"
"22697","8919","24664.09","946"
"22149","12373","24656.19","1189"
"23355","5338","24426.3","719"
"23201","12540","24175","752"
"20972","20301","24108.77","1224"
"22507","5436","23985.32","737"
"20971","20859","23975.69","1003"
"84755","39643","23848.11","1100"
"37503","2388","23827.8","465"
"84836","19715","23815.18","1244"
"22158","8439","23768.81","646"
"22551","14951","23736.15","1156"
"48111","4106","23729.14","572"
"21527","3310","23685.54","729"
"21108","12622","23534.52","408"
"22961","16617","23416.45","903"
"82583","11978","23390.22","820"
"21930","12544","23232.89","997"
"22084","8482","23182.7","704"
"21080","30214","23091","1671"
"23173","2666","23073.32","354"
"21481","7832","22658.2","834"
"84978","19216","22321.06","1087"
"22835","4827","22266.63","815"
"21231","18775","22152","1171"
"23243","4663","22133.83","385"
"22113","5909","22032.62","913"
"22728","5979","21917.48","772"
"22171","3055","21914.02","544"
"22632","11025","21869.22","721"
"20749","3060","21830.84","726"
"22734","8858","21514.48","599"
"22087","7806","21495.65","663"
"22556","13317","21288.41","1100"
"21955","3744","21288.2","576"
"22607","2427","21177.27","643"
"22969","14588","21020.8","577"
"22605","1724","21003.31","548"
"23202","10716","20963.93","772"
"21314","10603","20903.86","711"
"22554","13071","20879.23","1097"
"22585","17551","20854.88","950"
"22698","7591","20828.69","755"
"23209","13004","20817.56","1006"
"21210","14858","20761.27","931"
"20724","25999","20658.75","1495"
"22722","5378","20553.7","654"
"20711","11469","20532.63","671"
"37449","2311","20531.28","410"
"21936","7403","20496.41","783"
"21790","25765","20458.79","1480"
"22617","4303","20335.11","883"
"22941","2568","20279.4","406"
"22294","16698","20234.1","707"
"21791","17143","20204.53","1050"
"22625","2455","19926.53","781"
"22570","5585","19892.66","677"
"22568","5511","19848.46","771"
"22569","5554","19586.68","679"
"22273","7253","19480.43","701"
"85150","8224","19220.28","889"
"85048","2586","19091.7","432"
"22413","6876","19045.92","766"
"22558","13869","19029.01","1017"
"22501","2070","18943.5","497"
"48129","3089","18905.13","488"
"48116","3316","18859.15","385"
"22693","17266","18828.98","281"
"22633","9340","18807.96","790"
"21622","3563","18723.17","550"
"21559","7909","18695.99","951"
"22555","11625","18597.29","867"
"21121","15465","18546.93","788"
"21213","38927","18517.13","1156"
"84949","11965","18517.05","612"
"21908","9570","18394.64","801"
"22499","3177","18322.68","632"
"21479","4930","18319.2","738"
"23206","11565","18278.25","866"
"21340","1727","18185.06","383"
"22561","11292","18082.32","838"
"21174","9338","17977.82","855"
"22456","4048","17795.56","595"
"22147","12930","17689.3","1026"
"23344","8954","17679.72","586"
"22427","3072","17667.58","702"
"84945","22134","17616.12","585"
"84947","15343","17543","559"
"22061","2104","17533.95","443"
"22847","1127","17521.89","445"
"22381","8838","17323.18","791"
"22560","14773","17279.14","655"
"21136","10410","17169.46","714"
"22169","2140","17040.74","570"
"22505","3648","16812.74","655"
"21218","4737","16513.95","588"
"21156","9120","16490.92","797"
"84992","34541","16475.22","1176"
"23240","4103","16432.25","485"
"22837","3658","16376.9","368"
"71053","4570","16261.36","595"
"21216","3543","16242.17","522"
"22297","13182","16140.34","646"
"22900","5651","16138.05","507"
"21035","5612","16127.16","619"
"22352","6780","16112.89","836"
"21164","5912","16103.84","630"
"22191","1969","16070.1","592"
"22557","10067","16010.59","991"
"21258","1369","15975.63","344"
"21535","6615","15966.45","956"
"22424","1328","15964.25","559"
"22041","7162","15789.12","319"
"22355","19811","15768.15","1191"
"22296","9666","15630.58","739"
"21877","13987","15564.11","650"
"21533","3273","15532.15","845"
"22662","9827","15489.99","872"
"22690","2505","15424.51","401"
"22634","1665","15387.9","464"
"22952","30764","15338.36","904"
"22333","9938","15245.78","597"
"22652","9583","15239.31","716"
"20719","19288","15235.59","1062"
"21122","12632","15225.77","739"
"22193","1863","15224.09","555"
"21430","4298","15218.46","578"
"84375","7585","15209.07","626"
"22776","1611","15182.65","595"
"22635","1630","15106.35","450"
"22366","2390","15080.68","434"
"21914","12159","15078.72","815"
"21975","31105","14941.21","1133"
"22170","2344","14894.9","510"
"21889","12193","14877.12","869"
"82582","7495","14876","696"
"17003","71129","14827.71","387"
"21891","11833","14745.53","664"
"21484","4274","14692.92","676"
"22619","3917","14503.3","577"
"21844","5244","14473.8","422"
"20718","12336","14460.51","866"
"22367","7779","14444.79","1003"
"22487","1529","14350.66","808"
"22759","8978","14333.1","634"
"21165","9154","14195.14","779"
"22993","11792","14180.17","866"
"84050","10206","14163.98","557"
"22940","3446","14142.18","547"
"84378","11135","14022.84","944"
"22150","7767","14018.05","829"
"21770","2901","13951.56","580"
"22365","2246","13948.4","348"
"22667","4960","13868.8","820"
"22606","1030","13850.34","337"
"21380","4902","13843.9","540"
"22295","8482","13717.02","620"
"21169","8719","13568.71","621"
"22730","3615","13566.5","616"
"22271","4836","13496.66","691"
"21094","18278","13455.18","692"
"22356","16711","13398.09","1108"
"22804","5021","13244.63","587"
"22173","4644","13158.84","714"
"22692","1937","13120.31","460"
"23356","2352","13115.4","449"
"22236","1088","13108.8","391"
"22636","1611","13100.58","460"
"23200","6733","13043.24","470"
"21259","2283","13028.36","553"
"23313","2755","12994.77","359"
"23108","2194","12985.23","351"
"21390","10710","12959.14","482"
"35970","7898","12885.7","545"
"22655","76","12845","52"
"21704","16938","12838.08","464"
"22621","8401","12833.17","719"
"22749","3516","12816.58","621"
"21871","11277","12722.38","600"
"22946","876","12707.1","208"
"22766","4343","12566.33","580"
"22627","1512","12525.99","558"
"22909","15872","12525.56","889"
"23301","7740","12493.48","756"
"21672","10377","12465.37","625"
"62018","9551","12419.65","123"
"22584","5082","12400.04","512"
"22846","804","12398.41","311"
"21539","2636","12393","585"
"21155","5872","12382.27","724"
"22553","7632","12357.6","905"
"21669","10073","12338.81","639"
"21912","3435","12337.97","615"
"22485","1003","12248.25","341"
"22303","5323","12213.1","480"
"22654","2150","12196.02","440"
"21124","10026","12131.22","599"
"85042","2669","12085.95","281"
"21888","3269","12064.95","626"
"23207","7554","12029.06","647"
"22838","883","12015.23","228"
"84380","9673","11920.3","814"
"22179","1847","11880.19","401"
"22464","7541","11782.15","645"
"84212","24672","11764.32","258"
"20723","14654","11750","988"
"22646","8890","11689.26","697"
"23077","9662","11640.7","308"
"21668","9496","11582","614"
"23174","2956","11575.54","268"
"22243","7611","11574.15","321"
"22082","7119","11564.43","819"
"22207","2920","11523.36","324"
"22192","1391","11511.78","511"
"22750","3146","11495.76","597"
"20975","18017","11452.25","763"
"21787","14752","11414.08","350"
"22834","7213","11411.33","484"
"22943","2461","11350.13","286"
"20969","3138","11335.41","518"
"22623","2235","11329.42","500"
"21673","9390","11297.98","563"
"22444","9203","11262.07","328"
"21906","1663","11235.65","311"
"20676","9598","11203.13","720"
"22198","7078","11200.3","478"
"22950","8216","11188.4","307"
"22301","4863","11162.79","466"
"22088","4047","11113.45","478"
"22151","27416","11049.33","645"
"84987","7843","11028.83","642"
"21498","27147","11008.74","799"
"21260","3449","10932.35","442"
"21428","2805","10897.05","363"
"22631","5923","10893.23","469"
"21671","9027","10882.47","568"
"22988","9389","10860.22","349"
"84988","7680","10852.65","618"
"22649","2250","10810.6","414"
"22616","38084","10809.66","633"
"35400","1247","10781.7","331"
"22637","4408","10708.52","496"
"21326","17578","10697.3","532"
"22768","1150","10668.39","320"
"22729","2887","10637.94","500"
"21937","3820","10629","499"
"22740","12887","10623.23","205"
"22109","2939","10555.89","389"
"22417","21049","10549.99","911"
"21868","8934","10545.18","719"
"22580","1818","10534.58","388"
"22791","9153","10513.34","332"
"21907","5090","10504.15","694"
"21172","7517","10498.57","804"
"22468","1668","10486.14","335"
"22508","2741","10456","577"
"21242","6512","10388.96","519"
"22274","3728","10383.66","578"
"22488","6496","10356.56","653"
"21749","5454","10331.4","215"
"21833","6237","10273.65","337"
"22663","5389","10249.81","526"
"21429","6131","10240.35","764"
"22418","12308","10231.7","473"
"23170","6575","10190.79","328"
"22595","12520","10176.34","640"
"20828","4275","10091.25","499"
"21670","8204","10078.48","580"
"21624","1725","10077.23","350"
"22302","4815","10061.26","352"
"23208","6225","10006.45","597"
"23300","6303","9963.39","635"
"22968","1093","9941.55","243"
"21982","32050","9941.4","521"
"22620","7696","9935.93","654"
"22466","5652","9928.2","308"
"22966","8220","9840.41","610"
"22840","1318","9839.38","377"
"16014","30369","9838.98","92"
"22795","1519","9817.25","402"
"21257","1294","9765.14","360"
"23343","4908","9748.34","385"
"22348","11984","9739.46","690"
"21922","1286","9671.74","330"
"23076","7920","9668.16","248"
"21086","16070","9666.7","621"
"22970","4246","9666.3","276"
"84880","1745","9629.05","327"
"22694","4621","9521.1","720"
"21756","1599","9501.88","519"
"21890","3344","9489.36","411"
"84792","2229","9456.53","437"
"22064","6304","9450.6","479"
"20754","4866","9436.32","679"
"20979","7804","9411.48","518"
"20829","4728","9409.19","404"
"22120","978","9398.65","316"
"21531","3952","9389.1","612"
"21974","6655","9379.31","557"
"21735","799","9350.4","202"
"21558","3917","9330.45","532"
"22656","45","9290","37"
"20682","2938","9284.16","478"
"22300","4025","9281.49","411"
"22942","1224","9278.45","217"
"22668","3301","9269.31","381"
"22904","3241","9245.99","398"
"82552","6836","9209.91","654"
"22767","994","9204.78","279"
"22180","946","9186.5","358"
"23171","5966","9184.9","270"
"22978","2407","9184.28","197"
"22144","4475","9171.3","535"
"22349","2399","9112.75","318"
"21745","2707","9110.65","460"
"22380","4682","9102.8","549"
"22429","2201","9088.29","526"
"51008","2828","9051.6","72"
"22549","6367","9023.99","540"
"23175","3066","9008","272"
"22131","5032","8976.82","496"
"20970","2449","8969.27","504"
"21892","7389","8959.42","601"
"22992","4917","8950.29","285"
"22089","3205","8868.7","421"
"21781","611","8848.45","314"
"22741","10345","8712.91","196"
"22844","1056","8685.99","366"
"22121","1462","8640.64","386"
"79000","11609","8633.81","333"
"22725","2330","8607.84","419"
"21769","134","8562.52","48"
"22947","779","8561.65","162"
"23582","4447","8535.26","234"
"23581","4373","8529.24","302"
"21980","31276","8517.18","569"
"21985","24938","8491.52","734"
"21154","7170","8478.82","593"
"21385","10301","8456.33","505"
"22812","4459","8423.57","351"
"23318","3647","8350.41","329"
"22244","4606","8330.1","281"
"22989","2697","8323.17","311"
"84839","1493","8302.95","351"
"21135","5860","8302.12","380"
"35961","10734","8300.22","397"
"22771","6833","8274.61","383"
"37370","7283","8271.45","344"
"21243","5211","8265.15","395"
"20974","12961","8219.45","684"
"23319","3539","8216.79","365"
"22895","2793","8213.59","354"
"22751","2259","8205.29","414"
"23322","2908","8184.7","511"
"20677","7015","8175.3","545"
"21777","1073","8173.35","312"
"23082","2265","8129.43","263"
"21933","3815","8127.01","469"
"23256","2018","8123.78","324"
"22357","1891","8120.59","316"
"22215","1042","8117.8","319"
"23078","6607","8077.31","213"
"21042","1432","8032.9","336"
"23080","1003","7962.03","221"
"21488","2165","7945.75","301"
"21935","5048","7942.62","452"
"21381","4935","7916.79","376"
"22275","975","7877.8","280"
"21588","3398","7868.4","284"
"22078","3859","7861.4","385"
"21098","6681","7833.11","412"
"21716","3365","7818.53","306"
"22072","2248","7785.8","402"
"22079","4783","7748.19","542"
"21186","5022","7737.3","274"
"21658","2037","7708.95","345"
"22195","4719","7687.47","520"
"21874","6257","7678.51","455"
"85064","1727","7676.47","239"
"23439","3762","7660.2","371"
"22779","2019","7645.39","191"
"22796","785","7623.7","293"
"22827","49","7605","35"
"21715","3239","7592.37","317"
"21244","4783","7587.91","363"
"22354","2110","7577.92","237"
"22212","3781","7563.51","608"
"85067","480","7562.86","154"
"22327","2661","7537.95","464"
"22890","804","7515.22","230"
"23328","2067","7510.29","281"
"21875","6714","7491.42","326"
"22329","4801","7484.65","421"
"21870","6225","7472.31","539"
"82551","5388","7456.69","550"
"22748","3604","7414.61","616"
"22242","4735","7390.35","305"
"21737","399","7360.05","163"
"22665","2586","7323.26","507"
"22809","2543","7322.21","327"
"21932","3533","7302.76","494"
"21411","1978","7281.34","507"
"22813","3869","7230.33","290"
"22493","4578","7227.78","352"
"21976","14289","7203.43","713"
"21463","1347","7195.8","280"
"22073","1981","7194.75","360"
"22689","1006","7187.54","211"
"23238","1788","7170.6","233"
"22784","1517","7145.67","323"
"22219","8515","7128.55","726"
"84692","17637","7101.35","721"
"22371","1553","7094.23","505"
"21238","8752","7092.62","700"
"22628","1519","7071.05","250"
"23007","450","7065.5","142"
"21114","5707","7065.43","460"
"22745","3439","7049.05","556"
"48189","1227","7040.49","207"
"21497","17575","7009.5","483"
"22283","939","7008.89","297"
"20675","5923","6967.2","533"
"23215","3547","6962.04","197"
"22489","17244","6954.45","609"
"22550","1943","6951.5","346"
"22780","1844","6937.88","177"
"21981","26115","6929.43","386"
"23320","2635","6926.11","310"
"21984","25295","6922.05","350"
"22465","4483","6917.53","386"
"22839","500","6899.76","188"
"22029","17291","6894.8","861"
"22588","2691","6878.91","400"
"23543","1228","6877.72","94"
"85220","12236","6875","5"
"21561","2882","6867.63","441"
"22626","831","6865.93","305"
"22618","720","6848.64","224"
"22563","5926","6842.65","481"
"22938","3690","6837.68","251"
"23321","4283","6832.83","582"
"23236","2459","6828.31","284"
"22567","5593","6822.83","431"
"22991","3710","6820.74","234"
"21115","1173","6820.51","356"
"22592","1833","6801.85","251"
"85065","586","6785.5","232"
"22055","4511","6764.23","476"
"10002","8624","6761.52","297"
"21361","548","6760.2","250"
"82580","12722","6754.26","927"
"23493","3522","6747.9","349"
"23083","1860","6739.63","209"
"22353","2806","6728.7","371"
"22645","4915","6722.23","556"
"21746","5640","6708.28","381"
"23254","1664","6704","276"
"11001","4325","6696.69","178"
"22738","4169","6690.73","352"
"23297","4260","6677","140"
"21592","5976","6676.6","466"
"22085","2490","6675.5","192"
"84568","34657","6644.37","72"
"21903","3368","6628.98","346"
"22350","2603","6626.61","251"
"23283","967","6600.27","209"
"21033","3449","6574.9","293"
"23008","421","6567.95","120"
"22358","2315","6554.13","384"
"22798","2279","6544.01","258"
"22907","8190","6539.52","675"
"23109","2325","6528.25","228"
"21500","16050","6479","489"
"37450","2363","6475.25","313"
"23293","8243","6469.45","465"
"22661","8143","6458.49","536"
"23103","3939","6456.15","316"
"21563","2714","6447.22","302"
"37448","4485","6443.61","433"
"21041","2274","6434.3","330"
"22141","3141","6419.38","434"
"22833","191","6417.22","11"
"23134","1064","6414.48","37"
"22174","4185","6410.81","303"
"22783","488","6404.82","44"
"20717","5371","6398.53","500"
"22199","1691","6394.21","273"
"22810","2182","6391.98","280"
"22059","4943","6389.51","365"
"22669","2195","6355.25","334"
"22221","885","6348.95","138"
"22528","5369","6337.33","449"
"23229","1804","6336.43","219"
"23534","1207","6326.83","194"
"22360","2309","6322.55","303"
"22644","4800","6316.68","465"
"47502","617","6307.15","58"
"22414","1126","6306.54","162"
"22332","4085","6297.05","334"
"21876","5349","6280.37","403"
"21107","2310","6276.9","228"
"85175","15654","6275.96","409"
"22577","13136","6265.68","727"
"23553","558","6257.35","62"
"22220","713","6249.95","244"
"22432","3411","6249.35","430"
"22739","3775","6240.99","426"
"22080","3841","6239.65","438"
"21584","3869","6235.05","347"
"22504","277","6216.55","76"
"22826","58","6210","41"
"21499","15425","6196.5","458"
"22830","306","6186.54","16"
"22945","7555","6183.31","278"
"37500","827","6166.57","216"
"21586","2648","6162.9","236"
"23382","1712","6155.04","163"
"23541","829","6154.69","120"
"22526","519","6146.37","187"
"23480","1719","6126.09","173"
"85068","923","6105.51","173"
"22849","396","6093.96","151"
"22224","2130","6090.7","304"
"22431","3214","6073","498"
"22582","2477","6071.26","252"
"85047","996","6055.8","201"
"85062","3804","6049.47","278"
"21201","2644","6018.6","183"
"22187","2022","6008.02","290"
"21989","8102","5997.74","468"
"22430","1302","5985.74","303"
"23307","11675","5982.09","504"
"22045","14542","5981.64","469"
"85178","5439","5958.79","254"
"22491","7446","5936.76","360"
"23535","1128","5928.36","162"
"85174","1353","5924.67","229"
"22435","4828","5923.04","445"
"22142","4198","5898.54","429"
"22596","6120","5898.32","402"
"22130","7118","5892.74","358"
"20973","9255","5883.15","514"
"20751","2834","5857.92","408"
"23169","1453","5837.95","262"
"22185","3809","5833.55","375"
"21625","865","5818.29","245"
"22979","3920","5795.86","304"
"23247","2060","5795.2","271"
"23172","3688","5793.28","224"
"22855","4819","5791.19","345"
"22781","788","5786.54","225"
"22841","761","5771.23","286"
"22848","376","5748.65","133"
"22377","3214","5745.49","288"
"22498","997","5740.15","294"
"21918","14255","5735.38","585"
"23485","259","5719","80"
"23113","1138","5695.86","43"
"22119","924","5691.36","330"
"23296","4879","5687.15","319"
"21730","1209","5681.19","259"
"23204","7039","5632.15","425"
"22311","1955","5630.05","190"
"22898","3004","5626.7","374"
"22065","8380","5609.02","333"
"22971","2365","5603.57","233"
"22063","2185","5603.35","258"
"22364","1902","5583.1","224"
"22331","3529","5570.21","345"
"22951","10877","5564.71","517"
"23311","2199","5564.25","281"
"21988","7667","5559.35","350"
"23312","1365","5527.15","193"
"21768","460","5507.74","123"
"21703","14501","5505.13","452"
"22578","12369","5493.37","664"
"21110","1260","5487.2","229"
"21240","6832","5486.88","568"
"22899","2724","5482.58","354"
"22575","2888","5479.8","299"
"22964","2725","5477.74","321"
"22168","660","5476.8","304"
"21587","2193","5462.55","255"
"22148","3004","5449.8","243"
"72756","4003","5446.07","127"
"22746","2651","5422.22","460"
"37495","1521","5415.75","288"
"23118","765","5399.02","225"
"22845","895","5384.78","295"
"22441","2593","5379.3","390"
"23135","1538","5378.8","42"
"21207","3495","5361.95","212"
"23531","963","5340.21","97"
"22070","1761","5334.76","275"
"22060","718","5313.02","143"
"21432","928","5304.6","227"
"23126","1089","5297.03","271"
"21239","6549","5292.87","551"
"21452","1833","5289.75","328"
"79067","1492","5286.2","275"
"22341","3345","5274.05","139"
"21667","329","5272.55","141"
"23583","3315","5267.75","298"
"22842","824","5243.6","219"
"22437","6380","5238.4","358"
"22854","1104","5232.4","216"
"22460","4314","5231.09","289"
"22763","659","5228.89","119"
"23192","3286","5225.22","312"
"22660","840","5207.76","148"
"22670","4339","5206.36","315"
"22564","4580","5204.51","312"
"21491","2846","5204.1","222"
"21934","3284","5198.6","345"
"84832","6237","5187.57","442"
"21900","8176","5187.24","654"
"22282","475","5176.67","143"
"20983","6108","5160.6","546"
"85038","2621","5156.14","282"
"23133","759","5142.91","134"
"22483","1830","5133.78","302"
"22602","6313","5127.37","405"
"22737","3120","5126.84","381"
"23158","2538","5121.48","187"
"21078","6566","5120.72","537"
"21495","12465","5119.3","375"
"23188","3098","5103.46","282"
"79029","2863","5100.45","292"
"22443","666","5088.54","238"
"22030","12664","5084.13","601"
"23132","1022","5069.58","141"
"40016","15559","5069.48","196"
"22117","1727","5060.45","196"
"23157","2543","5058.59","145"
"22534","12522","5051.88","467"
"23177","2431","5036.55","214"
"21872","5061","5029.25","285"
"22165","783","5020.41","127"
"21528","841","5007.15","215"
"35832","1689","5001.75","162"
"21112","2085","4996.23","128"
"23154","2472","4986.49","214"
"21069","4952","4973.15","178"
"22687","837","4966.93","113"
"22196","5906","4963.55","565"
"22156","5882","4956.67","414"
"23556","438","4949.55","52"
"22956","2557","4935.96","225"
"22335","8096","4935.4","336"
"22894","549","4929.95","173"
"21832","3053","4928.93","281"
"22175","1770","4926.48","296"
"22186","1930","4917.54","284"
"22433","2713","4906.07","352"
"22378","3069","4898.96","288"
"23310","11891","4894.83","213"
"21700","5852","4893.08","325"
"22957","1749","4881.15","196"
"22688","890","4865.26","85"
"22906","3043","4852.95","346"
"37446","3615","4837.15","311"
"84937","2487","4829.92","83"
"23263","3747","4829.08","389"
"21056","539","4806.93","179"
"22610","12242","4802.42","223"
"23162","1362","4789.24","142"
"82599","2352","4779.3","354"
"23555","422","4768.15","48"
"84950","7554","4767.94","221"
"23554","421","4755.65","54"
"22442","869","4741.11","164"
"22434","2561","4732.13","262"
"22772","3984","4726.91","214"
"22509","379","4725.05","172"
"22399","4048","4724.84","255"
"22896","1983","4713.52","291"
"20978","3834","4710.42","396"
"21577","2237","4709.25","330"
"22128","3957","4701.15","186"
"23052","571","4694.75","221"
"22472","1059","4693.77","203"
"22998","11769","4693.4","437"
"22115","2726","4689.68","350"
"22412","2298","4686.3","308"
"22200","1174","4683.54","230"
"23295","5963","4675.61","359"
"21407","1143","4670","329"
"23314","393","4663.52","104"
"21363","942","4662.9","331"
"21116","972","4658.64","246"
"21896","2315","4655.88","226"
"21544","5804","4645.4","366"
"22562","3973","4644.29","362"
"23558","413","4641.7","47"
"84270","22470","4634.7","385"
"22691","721","4625.65","182"
"23165","2954","4624.5","220"
"22305","2254","4621","126"
"23159","2283","4620.97","195"
"22604","1952","4584.01","221"
"23234","1635","4576.05","232"
"21713","2613","4573.05","325"
"22304","2376","4572.41","142"
"22222","1229","4561.95","297"
"23569","933","4531.95","174"
"22593","5421","4528.29","311"
"23286","4901","4528.29","164"
"22571","5532","4527.48","379"
"21071","4175","4523.96","314"
"22241","3836","4520.56","335"
"22583","1789","4519.35","284"
"22276","1829","4497.45","303"
"47568","2267","4489.28","320"
"85063","277","4489.15","150"
"21986","13154","4483.94","376"
"22027","10964","4461.17","636"
"21614","1608","4455.6","178"
"23010","285","4444.75","89"
"21313","5971","4444.39","258"
"22075","3092","4437.98","256"
"48197","785","4437.95","137"
"20977","3572","4437.64","357"
"21718","3706","4431.32","308"
"22203","1237","4424.14","270"
"22218","1116","4419.5","183"
"22110","1936","4412.51","323"
"22672","2739","4409.07","298"
"22318","1501","4399.15","286"
"82581","8228","4394.62","728"
"84467","306","4391.1","45"
"23285","4679","4384.83","132"
"23176","2090","4377.76","186"
"22801","1197","4374.6","226"
"21471","1238","4373.7","229"
"21706","1217","4369.18","184"
"22732","3543","4358.59","243"
"21506","10838","4351.8","544"
"23198","3067","4346.99","374"
"23526","882","4346.82","91"
"22374","909","4337.09","341"
"23275","3642","4327.42","270"
"21967","15702","4319.76","371"
"21578","1926","4315.5","276"
"21591","3470","4305.58","356"
"22071","1525","4299.45","236"
"22892","3519","4289.31","274"
"21249","1578","4289.1","189"
"22908","5479","4288.09","410"
"21564","1912","4281.72","254"
"21878","5392","4280.82","290"
"23530","1043","4270.95","74"
"21916","10549","4267.42","537"
"23288","4505","4261.89","134"
"22361","1541","4260.35","264"
"23503","3435","4246.71","327"
"22653","2242","4244.16","231"
"22611","897","4232.55","185"
"22291","3120","4228.8","209"
"20747","310","4227.5","70"
"22926","728","4223.6","201"
"23494","726","4218.7","176"
"23389","1050","4217.5","205"
"20681","1327","4213.75","274"
"23237","1044","4212.2","169"
"22451","1291","4209.65","197"
"22299","3844","4208.94","128"
"22574","4952","4208.42","309"
"21537","1012","4200","226"
"23167","5666","4184.18","177"
"22733","3352","4175.04","253"
"21609","1503","4174.65","207"
"21534","871","4170.75","295"
"21899","6637","4170.23","523"
"21068","4227","4165.45","257"
"22476","1234","4143.82","188"
"21590","3446","4138.78","280"
"22601","5053","4126.57","330"
"22426","1195","4122.05","273"
"79341","703","4121.25","63"
"23404","969","4108.58","136"
"23205","5152","4106.72","345"
"21143","2147","4100.25","152"
"23241","2024","4099.52","284"
"20967","1110","4097.34","272"
"10135","3920","4089.39","249"
"22285","2663","4081.35","212"
"22278","835","4077.25","239"
"21811","5869","4075.47","270"
"21355","3411","4072.15","278"
"23397","434","4069.9","176"
"22760","339","4066.65","103"
"21474","203","4049.85","92"
"22449","1224","4047.33","234"
"22127","3475","4035.95","146"
"20961","3275","4021.91","314"
"22454","1452","4009.8","163"
"22800","1081","4002.13","189"
"22736","2425","3984.41","298"
"22474","905","3982.59","189"
"22959","9738","3981.96","281"
"21245","2456","3967.92","254"
"22851","5033","3966.71","451"
"20982","4678","3965.38","487"
"21707","957","3958.37","132"
"22775","3240","3953.81","183"
"22053","4520","3951.42","66"
"22721","910","3949.72","246"
"23163","1714","3949.7","134"
"22548","3370","3941.85","375"
"79320","862","3940.7","122"
"22530","9824","3937.44","375"
"20963","3203","3935.54","293"
"23129","942","3933.18","165"
"37447","2725","3924.65","264"
"22536","10090","3924.6","327"
"22425","816","3923.81","261"
"21901","6151","3922.47","575"
"21034","4120","3914","1857"
"23340","2465","3899.25","122"
"22612","988","3885.93","96"
"22790","200","3884","1"
"22747","1915","3883.5","327"
"23144","4894","3879.98","237"
"23486","267","3879.15","68"
