"CustomerID","R_Score","F_Score","M_Score","Total_Score","User_Segment"
"12633","4","3","4","11","发展用户"
"12634","1","1","2","4","流失风险用户"
"12635","3","2","4","9","一般用户"
"12637","3","4","5","12","一般用户"
"12638","4","2","3","9","一般用户"
"12639","1","2","3","6","挽留用户"
"12640","5","2","3","10","一般用户"
"12641","3","1","2","6","一般用户"
"12642","5","2","3","10","一般用户"
"12643","2","4","5","11","挽留用户"
"12644","2","2","3","7","挽留用户"
"12645","4","3","4","11","发展用户"
"12646","5","2","3","10","一般用户"
"12647","5","5","5","15","高价值用户"
"12648","2","2","3","7","挽留用户"
"12649","3","3","3","9","一般用户"
"12650","5","1","2","8","一般用户"
"12651","1","2","2","5","流失风险用户"
"12652","1","2","3","6","挽留用户"
"12653","2","2","4","8","挽留用户"
"12654","5","3","3","11","发展用户"
"12655","1","1","2","4","流失风险用户"
"12656","5","3","5","13","发展用户"
"12657","5","2","3","10","一般用户"
"12658","5","1","2","8","一般用户"
"12659","5","1","1","7","一般用户"
"12660","5","1","2","8","一般用户"
"12661","1","1","2","4","流失风险用户"
"12662","5","5","5","15","高价值用户"
"12663","1","2","2","5","流失风险用户"
"12664","3","2","1","6","一般用户"
"12665","1","2","2","5","流失风险用户"
"12666","1","1","3","5","挽留用户"
"12667","4","1","2","7","一般用户"
"12668","5","3","5","13","发展用户"
"12669","2","2","3","7","挽留用户"
"12670","5","3","4","12","发展用户"
"12671","1","1","4","6","挽留用户"
"12672","1","2","2","5","流失风险用户"
"12673","5","2","3","10","一般用户"
"12674","4","2","3","9","一般用户"
"12675","1","2","3","6","挽留用户"
"12676","5","4","4","13","高价值用户"
"12677","1","2","2","5","流失风险用户"
"12678","4","4","5","13","高价值用户"
"12679","4","2","3","9","一般用户"
"12680","5","2","3","10","一般用户"
"12681","5","5","5","15","高价值用户"
"12682","5","5","5","15","高价值用户"
"12683","5","4","5","14","高价值用户"
"12684","5","3","4","12","发展用户"
"12685","5","3","4","12","发展用户"
"12686","1","1","2","4","流失风险用户"
"12687","1","1","3","5","挽留用户"
"12688","3","1","4","8","一般用户"
"12689","5","2","3","10","一般用户"
"12690","1","1","2","4","流失风险用户"
"12691","5","3","3","11","发展用户"
"12692","1","1","1","3","流失风险用户"
"12693","2","3","3","8","挽留用户"
"12694","3","2","3","8","一般用户"
"12695","5","3","3","11","发展用户"
"12696","1","2","3","6","挽留用户"
"12697","5","2","3","10","一般用户"
"12698","1","1","2","4","流失风险用户"
"12699","1","1","2","4","流失风险用户"
"12700","5","2","4","11","一般用户"
"12701","3","3","4","10","一般用户"
"12702","5","1","2","8","一般用户"
"12703","3","2","3","8","一般用户"
"12704","5","3","3","11","发展用户"
"12705","5","4","5","14","高价值用户"
"12707","1","1","3","5","挽留用户"
"12708","4","4","4","12","高价值用户"
"12709","5","5","5","15","高价值用户"
"12710","3","2","3","8","一般用户"
"12711","1","2","3","6","挽留用户"
"12712","5","5","5","15","高价值用户"
"12713","5","1","3","9","一般用户"
"12714","5","4","5","14","高价值用户"
"12715","3","1","2","6","一般用户"
"12716","5","2","3","10","一般用户"
"12717","2","2","3","7","挽留用户"
"12718","3","1","2","6","一般用户"
"12719","5","2","3","10","一般用户"
"12720","5","5","5","15","高价值用户"
"12721","4","3","4","11","发展用户"
"12722","3","2","3","8","一般用户"
"12723","5","3","3","11","发展用户"
"12724","5","3","3","11","发展用户"
"12725","1","2","3","6","挽留用户"
"12726","5","4","4","13","高价值用户"
"12727","5","4","4","13","高价值用户"
"12728","3","3","3","9","一般用户"
"12729","3","1","2","6","一般用户"
"12730","1","1","3","5","挽留用户"
"12731","5","4","5","14","高价值用户"
"12732","2","1","2","5","流失风险用户"
"12733","1","2","4","7","挽留用户"
"12734","1","2","2","5","流失风险用户"
"12735","1","2","3","6","挽留用户"
"12736","1","1","2","4","流失风险用户"
"12738","1","1","2","4","流失风险用户"
"12739","3","2","4","9","一般用户"
"12740","3","1","2","6","一般用户"
"12741","1","1","2","4","流失风险用户"
"12742","1","1","3","5","挽留用户"
"12743","2","2","3","7","挽留用户"
"12744","4","3","5","12","发展用户"
"12745","1","2","3","6","挽留用户"
"12746","1","1","2","4","流失风险用户"
"12747","5","5","5","15","高价值用户"
"12748","5","5","5","15","高价值用户"
"12749","5","3","5","13","发展用户"
"12750","2","1","2","5","流失风险用户"
"12751","1","1","2","4","流失风险用户"
"12752","3","1","4","8","一般用户"
"12753","5","3","5","13","发展用户"
"12754","1","2","4","7","挽留用户"
"12755","1","4","5","10","挽留用户"
"12756","3","1","2","6","一般用户"
"12757","5","3","4","12","发展用户"
"12758","3","3","5","11","一般用户"
"12759","4","3","4","11","发展用户"
"12760","1","1","2","4","流失风险用户"
"12761","1","1","3","5","挽留用户"
"12762","5","2","3","10","一般用户"
"12763","2","2","3","7","挽留用户"
"12764","1","1","3","5","挽留用户"
"12765","1","3","3","7","挽留用户"
"12766","5","3","5","13","发展用户"
"12767","1","1","3","5","挽留用户"
"12768","1","1","2","4","流失风险用户"
"12769","1","1","3","5","挽留用户"
"12770","1","2","4","7","挽留用户"
"12771","1","1","2","4","流失风险用户"
"12772","4","1","3","8","一般用户"
"12773","1","1","2","4","流失风险用户"
"12774","1","1","1","3","流失风险用户"
"12775","5","3","3","11","发展用户"
"12776","1","1","1","3","流失风险用户"
"12777","1","1","2","4","流失风险用户"
"12778","5","3","3","11","发展用户"
"12779","4","4","5","13","高价值用户"
"12780","1","1","2","4","流失风险用户"
"12781","3","2","3","8","一般用户"
"12782","5","4","4","13","高价值用户"
"12783","5","2","3","10","一般用户"
"12784","5","2","3","10","一般用户"
"12785","1","2","3","6","挽留用户"
"12786","1","1","3","5","挽留用户"
"12787","5","2","3","10","一般用户"
"12788","1","2","2","5","流失风险用户"
"12789","3","2","2","7","一般用户"
"12790","1","2","3","6","挽留用户"
"12791","1","3","3","7","挽留用户"
"12792","1","2","3","6","挽留用户"
"12793","1","2","3","6","挽留用户"
"12794","4","2","3","9","一般用户"
"12795","5","1","2","8","一般用户"
"12796","1","1","2","4","流失风险用户"
"12797","1","2","2","5","流失风险用户"
"12798","5","2","5","12","一般用户"
"12799","1","1","2","4","流失风险用户"
"12800","1","2","2","5","流失风险用户"
"12801","1","1","3","5","挽留用户"
"12802","1","3","3","7","挽留用户"
"12803","1","1","3","5","挽留用户"
"12804","1","2","2","5","流失风险用户"
"12805","1","2","3","6","挽留用户"
"12806","1","2","4","7","挽留用户"
"12807","1","1","2","4","流失风险用户"
"12808","4","3","3","10","发展用户"
"12809","2","2","3","7","挽留用户"
"12810","1","2","2","5","流失风险用户"
"12811","1","2","3","6","挽留用户"
"12812","4","1","2","7","一般用户"
"12813","1","2","3","6","挽留用户"
"12814","3","1","1","5","一般用户"
"12815","2","2","3","7","挽留用户"
"12816","3","2","2","7","一般用户"
"12817","1","2","3","6","挽留用户"
"12818","1","1","3","5","挽留用户"
"12819","1","1","3","5","挽留用户"
"12820","5","4","4","13","高价值用户"
"12821","1","2","2","5","流失风险用户"
"12822","3","2","3","8","一般用户"
"12823","3","4","5","12","一般用户"
"12824","4","1","2","7","一般用户"
"12825","1","2","2","5","流失风险用户"
"12826","5","4","4","13","高价值用户"
"12827","5","2","2","9","一般用户"
"12828","5","3","3","11","发展用户"
"12829","1","2","2","5","流失风险用户"
"12830","4","3","5","12","发展用户"
"12831","1","2","2","5","流失风险用户"
"12832","4","2","2","8","一般用户"
"12833","2","1","2","5","流失风险用户"
"12834","1","1","2","4","流失风险用户"
"12835","1","5","5","11","挽留用户"
"12836","4","4","5","13","高价值用户"
"12837","2","2","3","7","挽留用户"
"12838","4","4","4","12","高价值用户"
"12839","5","5","5","15","高价值用户"
"12840","2","3","4","9","挽留用户"
"12841","5","5","5","15","高价值用户"
"12842","3","2","3","8","一般用户"
"12843","3","5","4","12","一般用户"
"12844","5","2","3","10","一般用户"
"12845","1","2","2","5","流失风险用户"
"12847","5","2","3","10","一般用户"
"12848","1","1","1","3","流失风险用户"
"12849","4","3","4","11","发展用户"
"12850","1","1","2","4","流失风险用户"
"12851","3","2","2","7","一般用户"
"12852","1","1","2","4","流失风险用户"
"12853","2","4","4","10","挽留用户"
"12854","3","3","4","10","一般用户"
"12855","1","2","3","6","挽留用户"
"12856","5","3","4","12","发展用户"
"12857","1","3","4","8","挽留用户"
"12858","1","1","2","4","流失风险用户"
"12859","1","1","2","4","流失风险用户"
"12860","1","1","1","3","流失风险用户"
"12861","1","1","1","3","流失风险用户"
"12862","1","2","3","6","挽留用户"
"12863","4","3","4","11","发展用户"
"12864","2","2","2","6","流失风险用户"
"12865","5","2","4","11","一般用户"
"12866","1","2","3","6","挽留用户"
"12867","5","4","5","14","高价值用户"
"12868","1","3","4","8","挽留用户"
"12869","1","1","2","4","流失风险用户"
"12870","1","2","3","6","挽留用户"
"12871","3","2","2","7","一般用户"
"12872","1","4","4","9","挽留用户"
"12873","1","2","3","6","挽留用户"
"12874","1","2","3","6","挽留用户"
"12875","2","3","3","8","挽留用户"
"12876","4","2","4","10","一般用户"
"12877","5","5","4","14","高价值用户"
"12878","1","2","3","6","挽留用户"
"12879","4","2","3","9","一般用户"
"12880","1","2","3","6","挽留用户"
"12881","1","1","2","4","流失风险用户"
"12882","5","2","3","10","一般用户"
"12883","5","2","3","10","一般用户"
"12884","3","1","2","6","一般用户"
"12885","3","2","3","8","一般用户"
"12886","3","2","3","8","一般用户"
"12887","1","1","2","4","流失风险用户"
"12888","1","2","2","5","流失风险用户"
"12889","1","2","2","5","流失风险用户"
"12890","5","2","3","10","一般用户"
"12891","1","4","3","8","挽留用户"
"12892","1","1","2","4","流失风险用户"
"12893","4","1","2","7","一般用户"
"12894","1","1","2","4","流失风险用户"
"12895","4","2","2","8","一般用户"
"12897","1","2","2","5","流失风险用户"
"12898","1","2","2","5","流失风险用户"
"12899","1","1","2","4","流失风险用户"
"12900","1","1","2","4","流失风险用户"
"12901","5","5","5","15","高价值用户"
"12902","1","1","2","4","流失风险用户"
"12903","1","1","3","5","挽留用户"
"12904","5","2","2","9","一般用户"
"12905","1","2","3","6","挽留用户"
"12906","5","3","4","12","发展用户"
"12907","1","2","2","5","流失风险用户"
"12908","2","3","3","8","挽留用户"
"12909","4","3","4","11","发展用户"
"12910","5","4","5","14","高价值用户"
"12911","1","1","3","5","挽留用户"
"12912","5","3","3","11","发展用户"
"12913","5","4","5","14","高价值用户"
"12914","1","1","2","4","流失风险用户"
"12915","2","2","3","7","挽留用户"
"12916","2","3","4","9","挽留用户"
"12917","1","3","3","7","挽留用户"
"12919","5","3","3","11","发展用户"
"12920","5","2","2","9","一般用户"
"12921","5","5","5","15","高价值用户"
"12922","2","1","2","5","流失风险用户"
"12923","3","2","3","8","一般用户"
"12924","3","4","4","11","一般用户"
"12925","5","2","3","10","一般用户"
"12926","1","2","3","6","挽留用户"
"12927","1","1","2","4","流失风险用户"
"12928","4","4","4","12","高价值用户"
"12929","1","1","2","4","流失风险用户"
"12930","3","2","2","7","一般用户"
"12931","5","5","5","15","高价值用户"
"12932","1","3","3","7","挽留用户"
"12933","5","3","3","11","发展用户"
"12934","1","1","1","3","流失风险用户"
"12935","5","4","4","13","高价值用户"
"12936","5","2","3","10","一般用户"
"12937","5","3","4","12","发展用户"
"12938","5","1","1","7","一般用户"
"12939","3","5","5","13","一般用户"
"12940","4","2","3","9","一般用户"
"12941","1","1","2","4","流失风险用户"
"12942","2","2","3","7","挽留用户"
"12943","1","2","2","5","流失风险用户"
"12944","4","2","3","9","一般用户"
"12945","1","2","3","6","挽留用户"
"12946","1","1","2","4","流失风险用户"
"12947","2","3","3","8","挽留用户"
"12948","5","3","4","12","发展用户"
"12949","4","5","5","14","高价值用户"
"12950","5","2","3","10","一般用户"
"12951","5","4","4","13","高价值用户"
"12952","5","2","3","10","一般用户"
"12953","5","2","3","10","一般用户"
"12954","1","1","2","4","流失风险用户"
"12955","5","4","4","13","高价值用户"
"12956","1","2","2","5","流失风险用户"
"12957","5","4","5","14","高价值用户"
"12958","1","2","3","6","挽留用户"
"12959","1","1","2","4","流失风险用户"
"12960","1","2","3","6","挽留用户"
"12961","1","1","2","4","流失风险用户"
"12962","5","2","2","9","一般用户"
"12963","5","4","4","13","高价值用户"
"12964","1","1","1","3","流失风险用户"
"12965","3","1","3","7","一般用户"
"12966","5","1","2","8","一般用户"
"12967","1","2","4","7","挽留用户"
"12968","3","1","2","6","一般用户"
"12969","1","1","2","4","流失风险用户"
"12970","5","4","3","12","发展用户"
"12971","5","5","5","15","高价值用户"
"12972","1","2","3","6","挽留用户"
"12973","1","1","2","4","流失风险用户"
"12974","1","2","2","5","流失风险用户"
"12975","1","3","3","7","挽留用户"
"12976","1","3","4","8","挽留用户"
"12977","2","2","2","6","流失风险用户"
"12978","1","3","3","7","挽留用户"
"12979","1","1","2","4","流失风险用户"
"12980","2","4","4","10","挽留用户"
"12981","5","2","2","9","一般用户"
"12982","1","3","4","8","挽留用户"
"12983","1","1","2","4","流失风险用户"
"12984","5","1","1","7","一般用户"
"12985","5","2","3","10","一般用户"
"12986","1","4","4","9","挽留用户"
"12987","3","3","3","9","一般用户"
"12988","1","1","2","4","流失风险用户"
"12989","5","5","5","15","高价值用户"
"12990","4","3","2","9","发展用户"
"12991","5","2","3","10","一般用户"
"12992","1","1","1","3","流失风险用户"
"12993","5","3","3","11","发展用户"
"12994","5","2","3","10","一般用户"
"12995","3","1","2","6","一般用户"
"12996","1","1","2","4","流失风险用户"
"12997","5","3","3","11","发展用户"
"12998","1","2","3","6","挽留用户"
"12999","1","2","2","5","流失风险用户"
"13000","3","2","3","8","一般用户"
"13001","5","5","5","15","高价值用户"
"13002","1","2","2","5","流失风险用户"
"13003","3","2","2","7","一般用户"
"13004","5","5","5","15","高价值用户"
"13005","2","2","3","7","挽留用户"
"13006","4","1","1","6","一般用户"
"13007","1","1","2","4","流失风险用户"
"13008","1","2","3","6","挽留用户"
"13009","1","1","2","4","流失风险用户"
"13010","1","2","2","5","流失风险用户"
"13011","1","1","1","3","流失风险用户"
"13012","5","4","4","13","高价值用户"
"13013","5","5","5","15","高价值用户"
"13014","5","4","4","13","高价值用户"
"13015","4","4","5","13","高价值用户"
"13016","3","2","3","8","一般用户"
"13017","5","1","2","8","一般用户"
"13018","5","5","5","15","高价值用户"
"13019","1","3","3","7","挽留用户"
"13020","1","2","3","6","挽留用户"
"13021","5","4","4","13","高价值用户"
"13022","1","1","1","3","流失风险用户"
"13023","3","2","3","8","一般用户"
"13024","1","2","3","6","挽留用户"
"13025","1","1","2","4","流失风险用户"
"13026","5","3","3","11","发展用户"
"13027","3","4","5","12","一般用户"
"13028","5","2","2","9","一般用户"
"13029","4","3","3","10","发展用户"
"13030","5","2","3","10","一般用户"
"13031","1","3","4","8","挽留用户"
"13032","4","3","4","11","发展用户"
"13033","1","2","2","5","流失风险用户"
"13034","4","2","3","9","一般用户"
"13035","3","2","3","8","一般用户"
"13036","1","1","2","4","流失风险用户"
"13037","2","4","4","10","挽留用户"
"13038","3","2","3","8","一般用户"
"13039","1","2","3","6","挽留用户"
"13040","5","2","3","10","一般用户"
"13041","1","2","2","5","流失风险用户"
"13042","1","2","3","6","挽留用户"
"13043","1","1","3","5","挽留用户"
"13044","1","4","4","9","挽留用户"
"13045","3","2","3","8","一般用户"
"13046","4","2","3","9","一般用户"
"13047","4","5","5","14","高价值用户"
"13048","5","3","4","12","发展用户"
"13049","3","2","3","8","一般用户"
"13050","5","5","5","15","高价值用户"
"13051","1","2","2","5","流失风险用户"
"13052","1","3","4","8","挽留用户"
"13053","1","1","2","4","流失风险用户"
"13055","3","2","4","9","一般用户"
"13056","1","1","2","4","流失风险用户"
"13057","1","2","3","6","挽留用户"
"13058","5","2","2","9","一般用户"
"13059","1","4","3","8","挽留用户"
"13060","1","1","2","4","流失风险用户"
"13061","3","1","2","6","一般用户"
"13062","1","1","2","4","流失风险用户"
"13063","1","1","2","4","流失风险用户"
"13064","5","3","3","11","发展用户"
"13065","1","3","3","7","挽留用户"
"13066","5","2","2","9","一般用户"
"13067","3","2","2","7","一般用户"
"13069","5","5","5","15","高价值用户"
"13070","1","2","2","5","流失风险用户"
"13071","1","1","2","4","流失风险用户"
"13072","1","1","2","4","流失风险用户"
"13073","1","2","2","5","流失风险用户"
"13074","1","2","3","6","挽留用户"
"13075","2","1","3","6","挽留用户"
"13076","1","1","2","4","流失风险用户"
"13077","5","4","4","13","高价值用户"
"13078","5","5","5","15","高价值用户"
"13079","5","3","2","10","发展用户"
"13080","2","2","2","6","流失风险用户"
"13081","5","5","5","15","高价值用户"
"13082","2","5","5","12","挽留用户"
"13083","5","2","2","9","一般用户"
"13085","2","3","4","9","挽留用户"
"13086","1","1","2","4","流失风险用户"
"13087","1","1","2","4","流失风险用户"
"13088","1","1","2","4","流失风险用户"
"13089","5","5","5","15","高价值用户"
"13090","5","5","5","15","高价值用户"
"13091","5","2","3","10","一般用户"
"13092","3","4","3","10","一般用户"
"13093","1","5","5","11","挽留用户"
"13094","5","4","4","13","高价值用户"
"13095","3","1","1","5","一般用户"
"13096","1","1","2","4","流失风险用户"
"13097","4","5","5","14","高价值用户"
"13098","5","5","5","15","高价值用户"
"13099","3","1","2","6","一般用户"
"13101","1","2","3","6","挽留用户"
"13102","5","5","5","15","高价值用户"
"13103","4","2","3","9","一般用户"
